Date,Gross_MU,Aux_Power,Heat_Rate,Leaks_Count,Oil_KL,S5_Score,Total_Savings_INR,ESCert_Qty,Carbon_Credits
2026-01-01,12.0,6.5,2350.0,2.0,2.5,50.0,-1026526.3157894736,,
2026-01-02,12.0,6.6,2353.0,1.0,2.6,50.0,-1109157.8947368418,,
2025-12-31,12.0,6.450000000000001,2340.0,,,,-843421.0526315795,-48.0,-214.73684210526318
